MinTemp,MaxTemp,Rainfall,Humidity9am,Humidity3pm,RainToday,RainTomorrow
8.0,15.6,5.6,78.0,64.0,1,0
12.8,19.3,13.2,72.0,55.0,1,0
16.8,25.1,0.0,47.0,49.0,0,0
22.8,33.4,0.0,65.0,40.0,0,0
24.4,43.6,0.0,13.0,9.0,0,0
1.6,14.3,0.2,98.0,76.0,0,0
13.4,30.1,0.0,53.0,34.0,0,0
23.0,41.0,0.0,51.0,23.0,0,0
16.9,24.3,3.6,58.0,27.0,1,0
13.4,19.8,14.8,62.0,91.0,1,1
6.7,17.1,0.0,58.0,41.0,0,0
9.8,15.8,0.0,50.0,40.0,0,0
19.3,28.1,0.0,26.0,14.0,0,0
18.1,28.5,0.0,68.0,66.0,0,0
17.2,22.6,0.4,54.0,47.0,0,0
14.6,18.3,2.8,72.0,73.0,1,1
13.3,27.8,0.0,92.0,38.0,0,0
26.9,42.5,0.0,17.0,9.0,0,0
8.7,25.2,0.0,47.0,27.0,0,0
-1.5,-0.6,1.0,94.0,95.0,0,1
9.6,25.8,0.0,62.0,30.0,0,0
13.7,31.7,0.0,63.0,19.0,0,0
9.2,20.6,0.0,72.0,48.0,0,0
15.8,20.8,7.0,90.0,74.0,1,1
12.3,28.5,0.0,86.0,45.0,0,1
20.5,28.8,2.0,74.0,61.0,1,1
17.0,20.4,0.6,89.0,71.0,0,1
22.0,26.0,0.8,61.0,57.0,0,0
11.3,25.2,0.0,66.0,30.0,0,0
22.7,40.4,0.0,52.0,17.0,0,0
19.2,31.7,0.4,59.0,36.0,0,0
14.4,22.4,0.0,39.0,29.0,0,0
23.6,30.6,11.6,81.0,60.0,1,0
15.9,18.6,15.6,76.0,93.0,1,1
17.6,35.1,0.0,93.0,37.0,0,0
11.9,19.8,0.0,53.0,51.0,0,1
3.5,14.8,0.8,58.0,39.0,0,0
12.6,20.0,0.0,69.0,49.0,0,0
-1.0,11.0,0.0,86.0,79.0,0,1
13.2,23.8,0.0,55.0,33.0,0,0
9.2,17.0,0.2,94.0,47.0,0,0
21.3,28.5,0.4,73.0,71.0,0,0
12.5,25.0,0.0,46.0,44.0,0,0
17.5,22.0,0.6,76.0,56.0,0,1
18.7,26.8,1.2,71.0,61.0,1,0
11.0,24.9,0.0,48.0,26.0,0,0
16.3,36.2,0.0,19.0,10.0,0,0
16.5,30.4,0.0,57.0,30.0,0,0
14.6,34.7,0.0,42.0,14.0,0,0
12.2,17.5,0.0,69.0,72.0,0,0
13.4,30.4,0.0,57.0,16.0,0,0
23.0,37.0,0.0,37.0,16.0,0,0
15.3,37.3,0.0,11.0,7.0,0,0
7.1,11.6,0.4,80.0,94.0,0,1
4.4,13.3,1.8,88.0,48.0,1,0
10.6,15.0,11.0,54.0,67.0,1,0
13.5,26.7,0.0,45.0,24.0,0,0
9.0,19.9,0.0,85.0,36.0,0,0
19.2,30.2,0.0,57.0,51.0,0,0
10.9,19.8,1.6,94.0,70.0,1,0
14.0,27.6,0.6,57.0,35.0,0,0
4.5,9.9,0.8,98.0,95.0,0,1
10.6,15.6,5.8,94.0,79.0,1,0
20.4,27.9,0.0,70.0,64.0,0,0
12.0,29.4,0.0,43.0,15.0,0,0
7.6,15.6,16.4,87.0,57.0,1,0
3.7,17.2,0.0,75.0,41.0,0,1
8.0,28.5,0.0,11.0,6.0,0,0
7.5,16.3,9.0,94.0,62.0,1,1
12.5,15.7,7.8,96.0,63.0,1,0
13.0,17.9,2.8,63.0,52.0,1,0
21.4,29.7,0.0,67.0,76.0,0,1
21.3,28.9,20.0,84.0,66.0,1,1
8.6,22.2,0.0,90.0,55.0,0,0
13.5,28.3,0.0,58.0,29.0,0,0
15.3,19.8,9.4,99.0,97.0,1,1
4.6,17.7,0.0,66.0,46.0,0,0
15.0,26.2,0.0,86.0,48.0,0,0
7.5,19.0,0.0,87.0,62.0,0,0
23.6,32.2,0.0,69.0,67.0,0,0
19.3,24.5,0.0,73.0,59.0,0,0
14.3,20.5,0.0,47.0,40.0,0,0
10.5,20.9,0.0,52.0,29.0,0,0
10.5,17.4,3.0,83.0,73.0,1,1
14.2,30.3,0.0,46.0,22.0,0,0
11.2,32.8,0.0,38.0,14.0,0,0
12.8,27.2,0.0,79.0,39.0,0,0
10.0,24.1,0.0,98.0,56.0,0,0
22.5,33.7,0.0,74.0,59.0,0,0
20.2,23.7,0.0,65.0,78.0,0,1
5.3,26.0,0.0,54.0,23.0,0,0
12.8,24.9,0.0,76.0,44.0,0,0
10.5,17.6,18.6,82.0,68.0,1,0
14.6,34.7,0.0,70.0,11.0,0,0
16.8,26.4,0.0,55.0,37.0,0,0
14.2,18.3,0.0,64.0,64.0,0,0
16.6,38.7,0.0,97.0,23.0,0,0
8.8,19.4,0.0,46.0,50.0,0,0
7.2,19.8,0.0,68.0,45.0,0,0
14.6,26.9,0.0,66.0,64.0,0,1
9.7,31.6,0.0,76.0,29.0,0,0
16.6,26.5,0.0,56.0,56.0,0,0
21.7,29.3,26.4,87.0,72.0,1,1
4.3,23.2,0.2,90.0,43.0,0,0
6.9,15.7,0.2,47.0,41.0,0,1
9.3,14.7,0.0,71.0,55.0,0,0
11.7,16.1,3.0,89.0,73.0,1,1
6.3,17.8,0.1,90.0,61.0,0,0
1.6,18.3,0.0,88.0,35.0,0,0
8.0,17.5,0.0,62.0,39.0,0,0
3.8,14.8,0.0,99.0,64.0,0,0
12.8,31.1,0.0,50.0,50.0,0,1
23.3,32.9,30.6,71.0,51.0,1,0
-1.0,14.3,0.2,56.0,41.0,0,0
7.6,16.5,0.0,49.0,30.0,0,0
3.5,20.8,0.0,86.0,59.0,0,0
10.7,17.8,0.0,59.0,69.0,0,1
12.6,18.9,0.0,71.0,54.0,0,0
20.5,26.3,0.0,77.0,59.0,0,0
10.5,17.2,0.2,53.0,42.0,0,0
14.1,28.5,0.0,50.0,30.0,0,0
18.6,41.5,0.0,17.0,12.0,0,0
19.0,21.1,16.4,96.0,95.0,1,1
6.7,16.4,3.2,83.0,64.0,1,1
12.3,17.0,0.0,69.0,63.0,0,0
19.3,21.3,19.4,92.0,90.0,1,1
14.4,33.5,0.0,80.0,29.0,0,0
6.6,32.7,0.0,28.0,11.0,0,0
16.4,24.1,0.0,54.0,41.0,0,0
11.0,21.3,0.0,54.0,40.0,0,0
16.2,22.2,0.0,76.0,67.0,0,0
14.1,25.3,0.2,72.0,66.0,0,0
1.3,14.5,0.0,92.0,32.0,0,0
12.4,21.2,0.8,100.0,73.0,0,0
13.4,21.9,0.0,43.0,25.0,0,0
3.7,13.7,0.0,83.0,62.0,0,0
15.6,28.8,0.0,53.0,35.0,0,1
24.4,35.4,0.2,85.0,95.0,0,1
25.2,35.8,0.4,67.0,45.0,0,1
11.0,19.3,17.8,93.0,81.0,1,1
13.2,17.0,0.0,55.0,55.0,0,0
15.7,22.9,0.0,58.0,41.0,0,0
13.4,29.1,0.0,57.0,32.0,0,0
9.0,16.1,0.0,87.0,64.0,0,0
21.4,30.2,0.0,71.0,59.0,0,0
18.5,31.5,0.0,58.0,31.0,0,0
9.7,14.5,13.4,74.0,66.0,1,1
11.9,21.1,0.0,62.0,50.0,0,0
9.9,27.8,0.0,46.0,25.0,0,0
14.5,17.1,0.0,52.0,51.0,0,1
13.5,22.9,0.4,67.0,52.0,0,0
15.7,37.8,0.0,27.0,6.0,0,0
9.1,17.2,3.6,95.0,67.0,1,1
8.1,22.4,9.0,79.0,36.0,1,0
2.4,15.0,0.2,99.0,71.0,0,1
14.9,23.2,0.0,82.0,75.0,0,0
15.8,27.7,0.0,69.0,43.0,0,0
11.0,18.9,0.6,97.0,69.0,0,1
8.5,21.4,0.0,77.0,54.0,0,0
5.8,23.0,0.0,36.0,21.0,0,0
16.0,17.2,0.0,79.0,86.0,0,1
11.4,34.8,0.0,20.0,16.0,0,0
17.7,21.3,0.0,72.0,67.0,0,0
2.1,19.9,0.0,94.0,46.0,0,0
21.7,40.4,0.0,20.0,10.0,0,0
20.1,29.0,0.4,65.0,47.0,0,0
12.7,20.0,0.0,52.0,41.0,0,0
18.3,22.4,0.0,85.0,81.0,0,1
10.6,17.5,0.0,35.0,48.0,0,0
4.3,9.2,4.2,94.0,87.0,1,0
27.5,33.7,0.0,64.0,50.0,0,0
11.3,24.5,0.0,55.0,49.0,0,0
8.8,23.6,0.0,50.0,28.0,0,0
15.0,29.5,0.0,46.0,37.0,0,0
6.6,13.7,15.4,100.0,75.0,1,0
9.1,15.6,0.6,86.0,49.0,0,1
9.1,23.3,0.0,61.0,60.0,0,0
4.2,15.3,0.0,100.0,70.0,0,0
20.6,27.6,2.6,82.0,62.0,1,0
19.7,25.8,0.0,81.0,69.0,0,0
2.2,19.7,0.0,69.0,35.0,0,0
13.9,28.9,0.0,58.0,43.0,0,0
16.1,21.3,29.9,84.0,87.0,1,1
15.7,22.5,0.0,58.0,55.0,0,0
9.5,16.4,0.6,85.0,73.0,0,0
12.7,16.9,0.0,75.0,49.0,0,0
-2.1,13.2,0.0,80.0,58.0,0,0
14.1,19.9,11.2,99.0,99.0,1,1
9.5,14.8,3.0,90.0,87.0,1,0
17.3,19.3,0.4,96.0,67.0,0,1
20.0,36.0,0.0,49.0,28.0,0,1
15.0,26.3,0.0,51.0,57.0,0,0
7.2,13.1,9.8,71.0,89.0,1,1
8.8,14.2,13.8,94.0,74.0,1,1
22.4,30.6,5.2,83.0,65.0,1,1
10.0,21.5,0.0,65.0,53.0,0,1
13.5,18.9,34.4,70.0,68.0,1,1
12.0,25.1,0.0,63.0,45.0,0,0
9.8,18.5,0.0,83.0,47.0,0,0
15.8,22.5,0.0,73.0,66.0,0,1
9.5,17.5,13.2,59.0,46.0,1,0
17.7,32.9,0.2,89.0,41.0,0,0
16.7,24.7,0.0,78.0,65.0,0,1
13.0,28.0,0.0,49.0,28.0,0,0
12.3,20.0,0.0,86.0,72.0,0,1
17.4,32.6,0.0,69.0,47.0,0,0
2.6,18.1,0.4,99.0,60.0,0,0
13.6,24.5,0.0,55.0,37.0,0,0
6.0,22.5,0.0,51.0,45.0,0,0
10.1,26.8,0.0,57.0,14.0,0,0
10.9,19.0,0.0,66.0,69.0,0,0
11.9,23.6,0.8,79.0,57.0,0,0
7.4,13.5,0.2,71.0,56.0,0,0
0.4,14.7,0.0,68.0,51.0,0,0
24.0,38.0,0.0,33.0,18.0,0,0
13.3,18.4,0.2,95.0,68.0,0,1
22.9,34.3,0.0,54.0,45.0,0,0
8.7,19.7,1.6,63.0,33.0,1,1
13.3,24.1,0.0,62.0,47.0,0,0
19.3,33.1,4.0,51.0,49.0,1,1
10.8,18.8,5.0,55.0,71.0,1,0
10.6,19.2,13.2,71.0,34.0,1,0
9.7,20.9,8.2,92.0,63.0,1,0
4.3,15.0,0.2,99.0,74.0,0,1
20.8,24.8,0.0,74.0,79.0,0,0
4.4,13.1,0.0,99.0,84.0,0,0
6.7,19.3,0.0,62.0,55.0,0,0
14.0,30.7,0.0,54.0,21.0,0,0
21.1,39.3,0.0,22.0,11.0,0,0
17.4,22.9,22.4,72.0,60.0,1,1
15.8,19.8,0.0,67.0,63.0,0,0
4.0,19.9,0.0,75.0,37.0,0,0
16.8,32.5,0.8,71.0,36.0,0,1
15.3,21.9,0.0,54.0,52.0,0,1
2.6,19.9,0.0,39.0,15.0,0,0
-2.8,14.1,0.0,81.0,38.0,0,0
17.5,38.3,0.6,39.0,19.0,0,1
9.3,19.0,0.0,45.0,47.0,0,0
-2.6,6.6,0.4,81.0,65.0,0,0
16.1,20.3,3.8,94.0,65.0,1,0
13.3,18.5,2.2,81.0,65.0,1,0
14.4,21.3,10.0,62.0,54.0,1,1
12.4,32.3,0.0,33.0,15.0,0,0
20.5,26.9,28.2,87.0,68.0,1,1
11.9,28.1,0.0,65.0,28.0,0,0
17.7,19.6,1.0,87.0,80.0,0,1
4.5,14.3,4.0,55.0,80.0,1,1
5.1,22.2,3.4,79.0,40.0,1,0
19.7,27.1,0.0,74.0,65.0,0,0
14.8,28.8,0.2,67.0,68.0,0,0
25.6,34.8,0.0,60.0,39.0,0,0
9.7,30.2,0.0,44.0,29.0,0,0
21.0,27.4,0.0,81.0,73.0,0,0
18.2,33.8,0.0,53.0,29.0,0,0
15.1,26.7,0.0,45.0,51.0,0,0
1.1,10.9,0.0,80.0,47.0,0,0
13.7,26.5,6.8,64.0,41.0,1,0
19.8,37.0,0.0,44.0,32.0,0,0
18.1,34.7,2.2,68.0,26.0,1,0
10.1,22.9,0.2,62.0,57.0,0,0
10.7,21.4,12.6,60.0,33.0,1,0
19.2,21.6,17.8,89.0,82.0,1,0
2.2,12.2,2.8,98.0,71.0,1,0
24.5,30.8,0.4,71.0,68.0,0,1
9.7,15.3,0.0,61.0,43.0,0,0
19.0,23.7,0.6,76.0,77.0,0,1
22.4,38.7,0.0,42.0,17.0,0,0
13.7,28.1,0.0,47.0,22.0,0,0
11.9,23.5,0.0,83.0,48.0,0,0
24.2,38.0,0.0,47.0,21.0,0,0
7.3,24.5,0.0,42.0,39.0,0,0
17.9,31.8,0.0,65.0,23.0,0,0
10.2,30.7,0.0,67.0,28.0,0,0
11.4,24.7,0.8,76.0,63.0,0,1
6.9,23.7,0.0,47.0,31.0,0,0
11.0,25.0,0.0,51.0,49.0,0,0
0.6,16.1,0.0,94.0,55.0,0,0
2.9,18.1,0.0,99.0,58.0,0,0
12.2,19.1,5.2,78.0,67.0,1,0
14.1,18.2,1.0,64.0,52.0,0,0
-3.2,13.9,0.0,84.0,38.0,0,0
8.3,12.7,0.0,66.0,52.0,0,0
8.5,17.9,0.0,76.0,42.0,0,0
2.0,15.3,0.0,88.0,48.0,0,0
16.6,32.3,0.0,44.0,59.0,0,0
6.8,14.8,1.6,58.0,90.0,1,1
14.1,20.4,0.0,62.0,58.0,0,0
14.5,25.1,0.0,69.0,65.0,0,0
14.8,28.0,0.0,63.0,43.0,0,0
8.1,31.6,0.0,18.0,7.0,0,0
26.3,33.4,0.0,71.0,72.0,0,1
13.2,17.6,11.2,99.0,80.0,1,0
17.5,27.1,0.0,76.0,68.0,0,0
10.2,21.2,0.0,47.0,39.0,0,0
-3.5,2.7,0.2,92.0,80.0,0,0
20.5,28.0,0.4,88.0,92.0,0,1
15.4,32.0,0.0,42.0,20.0,0,0
20.1,23.4,0.0,83.0,84.0,0,0
23.1,39.7,0.0,48.0,20.0,0,0
17.3,26.9,0.0,58.0,38.0,0,0
11.1,20.4,0.0,68.0,38.0,0,0
18.5,26.8,2.8,72.0,36.0,1,0
1.3,17.5,0.0,67.0,30.0,0,0
14.5,19.7,2.6,84.0,75.0,1,1
16.3,30.2,1.2,66.0,37.0,1,0
8.5,25.9,0.0,58.0,37.0,0,0
15.8,20.6,0.2,89.0,97.0,0,1
3.3,9.3,2.0,95.0,88.0,1,1
2.1,19.2,0.0,72.0,42.0,0,0
20.0,36.1,0.0,50.0,28.0,0,0
20.9,27.2,23.6,84.0,76.0,1,1
3.5,17.2,0.0,65.0,42.0,0,0
17.2,31.3,1.4,67.0,44.0,1,0
17.7,36.0,0.0,20.0,15.0,0,0
15.9,33.4,0.0,63.0,16.0,0,0
17.1,30.7,1.0,91.0,45.0,0,0
28.1,41.0,0.0,25.0,13.0,0,0
21.4,38.0,0.0,29.0,21.0,0,0
23.1,27.4,53.2,84.0,92.0,1,1
9.6,23.3,0.0,48.0,45.0,0,0
14.1,31.4,0.0,40.0,24.0,0,0
16.9,33.1,0.0,81.0,62.0,0,0
1.6,19.5,0.0,69.0,23.0,0,0
11.1,22.0,0.0,73.0,66.0,0,1
16.8,29.8,0.0,52.0,28.0,0,0
13.3,20.0,0.2,52.0,54.0,0,0
18.1,27.9,0.0,85.0,50.0,0,0
9.9,26.3,0.0,64.0,30.0,0,0
18.8,26.8,0.0,56.0,50.0,0,0
10.8,23.8,0.0,69.0,35.0,0,0
3.2,15.5,9.2,72.0,75.0,1,1
4.2,26.7,0.0,28.0,16.0,0,0
7.0,17.6,2.6,79.0,72.0,1,1
20.0,24.0,61.2,96.0,92.0,1,1
-2.1,0.4,2.2,91.0,87.0,1,1
10.7,26.8,0.0,78.0,46.0,0,0
22.1,32.7,6.6,73.0,56.0,1,1
20.0,28.2,0.0,63.0,53.0,0,0
14.5,26.9,0.0,68.0,64.0,0,1
16.5,31.0,0.0,75.0,45.0,0,0
15.4,20.5,0.0,72.0,77.0,0,1
17.8,22.7,0.8,72.0,67.0,0,1
9.1,14.5,3.2,67.0,66.0,1,0
16.4,20.5,20.4,95.0,59.0,1,1
12.6,23.0,0.0,49.0,33.0,0,0
15.8,28.4,0.0,69.0,44.0,0,0
16.7,35.4,0.0,41.0,13.0,0,0
-0.9,14.7,0.0,80.0,28.0,0,0
3.8,16.8,0.0,91.0,58.0,0,0
8.0,12.8,2.2,79.0,70.0,1,0
20.4,25.4,0.0,57.0,53.0,0,0
28.8,35.5,0.0,41.0,33.0,0,1
16.4,20.6,3.4,85.0,71.0,1,1
14.7,25.0,0.0,55.0,33.0,0,0
7.6,22.5,0.0,73.0,48.0,0,0
3.5,18.9,0.0,84.0,50.0,0,0
9.2,16.6,1.0,66.0,56.0,0,0
12.6,27.5,0.2,97.0,37.0,0,0
17.0,26.3,0.0,56.0,58.0,0,0
6.1,11.6,1.8,73.0,38.0,1,0
3.8,16.1,0.0,60.0,43.0,0,0
1.1,12.7,0.0,69.0,52.0,0,1
12.6,24.9,0.0,64.0,32.0,0,0
14.4,30.0,0.0,53.0,29.0,0,0
25.1,32.7,0.0,75.0,59.0,0,0
23.4,30.4,0.0,67.0,64.0,0,1
10.8,19.7,13.4,88.0,66.0,1,1
3.6,16.0,0.0,86.0,61.0,0,1
14.1,31.6,0.0,52.0,28.0,0,0
16.7,27.8,11.0,67.0,57.0,1,0
16.7,25.6,1.4,88.0,54.0,1,1
13.1,18.9,5.0,67.0,68.0,1,0
16.1,36.3,0.0,46.0,33.0,0,0
22.1,29.7,0.0,68.0,65.0,0,0
13.4,31.6,0.0,31.0,14.0,0,0
11.0,21.4,0.0,69.0,62.0,0,0
8.4,24.5,0.0,54.0,25.0,0,0
18.4,24.6,0.0,50.0,82.0,0,1
17.2,29.8,0.0,54.0,44.0,0,0
6.2,10.7,0.0,88.0,98.0,0,1
13.0,20.7,0.0,47.0,62.0,0,0
15.4,19.0,0.6,82.0,82.0,0,0
24.1,31.4,11.8,77.0,64.0,1,0
2.3,26.4,0.0,42.0,17.0,0,0
12.0,23.1,0.0,49.0,33.0,0,0
4.5,15.1,0.0,47.0,44.0,0,0
15.2,27.3,0.0,62.0,40.0,0,0
14.8,34.2,0.0,22.0,14.0,0,0
10.9,20.2,0.0,45.0,35.0,0,0
15.9,23.3,0.0,72.0,53.0,0,0
15.1,27.6,0.0,68.0,63.0,0,0
8.0,16.8,3.0,39.0,42.0,1,0
14.3,23.7,0.0,65.0,49.0,0,0
3.9,15.1,0.0,78.0,56.0,0,0
18.7,31.5,0.0,49.0,47.0,0,0
-3.8,9.0,0.0,90.0,53.0,0,0
14.6,29.0,3.0,41.0,21.0,1,0
10.9,25.0,0.0,69.0,54.0,0,0
-1.2,12.0,0.2,85.0,52.0,0,0
19.7,23.1,0.0,62.0,87.0,0,1
6.1,12.4,0.0,63.0,53.0,0,0
10.0,23.5,0.0,81.0,52.0,0,0
10.1,16.7,16.8,93.0,83.0,1,1
4.8,20.9,0.2,94.0,44.0,0,0
13.1,17.4,3.8,87.0,77.0,1,1
16.6,26.1,0.4,71.0,49.0,0,0
10.9,16.3,0.0,97.0,93.0,0,1
11.1,18.7,0.2,89.0,78.0,0,0
10.2,18.5,0.0,33.0,26.0,0,0
15.0,31.0,0.0,53.0,30.0,0,0
1.4,17.1,0.0,94.0,42.0,0,0
9.6,23.1,41.8,61.0,78.0,1,1
12.4,15.6,23.4,97.0,93.0,1,1
16.6,27.2,0.0,55.0,62.0,0,0
22.5,39.8,0.0,16.0,8.0,0,0
2.9,19.8,0.0,51.0,24.0,0,0
17.3,35.2,0.0,36.0,22.0,0,0
16.5,31.1,0.0,46.0,21.0,0,0
11.8,29.1,0.0,42.0,28.0,0,0
8.0,22.9,0.0,38.0,22.0,0,0
13.6,25.0,0.0,56.0,28.0,0,0
11.9,19.3,0.0,71.0,70.0,0,1
14.0,19.3,0.0,72.0,68.0,0,1
6.1,12.5,6.6,100.0,100.0,1,1
12.0,20.8,0.0,58.0,52.0,0,0
20.3,36.9,0.0,25.0,15.0,0,0
16.7,35.2,0.0,28.0,11.0,0,0
13.3,25.0,0.0,54.0,34.0,0,0
0.2,21.2,0.0,50.0,30.0,0,0
9.0,26.6,0.0,82.0,46.0,0,0
18.3,23.8,3.6,91.0,83.0,1,0
11.7,17.2,14.4,85.0,90.0,1,1
21.9,29.5,0.0,76.0,53.0,0,0
14.5,19.1,2.0,62.0,60.0,1,0
17.0,18.2,16.4,81.0,52.0,1,0
13.0,20.1,1.8,75.0,61.0,1,0
17.2,33.7,0.0,35.0,17.0,0,0
2.9,14.7,0.0,77.0,54.0,0,0
16.1,23.1,0.0,62.0,62.0,0,0
22.4,37.1,1.4,37.0,74.0,1,1
6.9,19.9,0.0,53.0,26.0,0,0
8.6,16.4,0.8,98.0,75.0,0,0
15.1,23.6,0.8,69.0,70.0,0,1
3.0,11.4,16.4,63.0,73.0,1,1
8.9,17.6,7.6,88.0,89.0,1,1
17.1,24.8,10.7,83.0,79.0,1,1
19.9,28.6,0.0,49.0,66.0,0,0
20.3,31.8,0.0,37.0,28.0,0,0
12.2,30.5,0.0,60.0,22.0,0,0
6.6,14.0,3.4,89.0,63.0,1,0
8.8,25.3,4.2,42.0,20.0,1,0
13.3,30.8,0.0,50.0,28.0,0,0
11.4,16.2,24.2,93.0,77.0,1,1
11.6,14.4,10.0,69.0,55.0,1,1
14.6,21.5,2.6,74.0,61.0,1,0
10.4,37.3,0.0,47.0,11.0,0,0
6.5,10.2,0.0,80.0,72.0,0,1
2.2,16.8,0.0,65.0,44.0,0,0
10.7,13.9,2.6,82.0,83.0,1,1
8.7,19.4,0.0,53.0,32.0,0,0
13.8,20.9,1.4,78.0,85.0,1,1
1.2,20.2,0.0,69.0,33.0,0,0
1.5,16.7,0.2,100.0,45.0,0,0
14.0,28.5,0.0,47.0,29.0,0,0
11.0,22.9,0.0,40.0,29.0,0,0
11.1,18.4,3.4,63.0,48.0,1,0
15.5,27.9,0.0,40.0,15.0,0,0
23.3,29.4,1.2,78.0,61.0,1,0
19.1,24.5,0.0,59.0,62.0,0,0
13.6,21.7,0.0,79.0,62.0,0,0
12.2,16.0,0.0,45.0,36.0,0,0
11.8,27.8,0.0,62.0,58.0,0,0
15.6,27.0,0.0,85.0,52.0,0,0
14.3,33.7,0.0,11.0,9.0,0,0
13.3,18.6,7.2,67.0,70.0,1,1
17.2,23.8,13.4,94.0,69.0,1,1
21.1,29.4,0.0,68.0,63.0,0,0
7.6,20.8,0.0,69.0,63.0,0,0
-1.6,15.8,0.0,83.0,46.0,0,0
12.2,22.0,0.0,66.0,42.0,0,0
9.4,14.8,8.4,86.0,82.0,1,1
15.8,26.2,0.0,61.0,63.0,0,0
17.9,22.1,0.6,72.0,75.0,0,0
9.9,28.6,0.0,27.0,13.0,0,0
8.1,16.8,0.2,98.0,66.0,0,0
11.1,20.4,2.6,97.0,88.0,1,1
7.4,10.9,0.0,58.0,82.0,0,1
6.6,13.9,1.4,83.0,73.0,1,0
16.3,22.4,0.0,82.0,69.0,0,0
8.1,15.1,1.0,89.0,68.0,0,0
10.4,18.2,13.6,73.0,74.0,1,1
22.6,32.8,33.0,84.0,64.0,1,1
17.0,33.7,0.0,65.0,50.0,0,0
19.8,30.9,0.0,33.0,12.0,0,0
17.1,33.0,0.0,38.0,28.0,0,0
13.7,29.7,0.0,91.0,91.0,0,1
16.7,30.8,0.0,39.0,30.0,0,0
7.6,14.6,3.6,86.0,67.0,1,1
4.3,26.5,0.0,51.0,27.0,0,0
22.2,30.7,0.0,60.0,64.0,0,0
12.9,27.6,0.0,86.0,44.0,0,0
18.2,23.6,0.0,69.0,59.0,0,0
4.5,16.2,0.0,74.0,43.0,0,0
24.6,31.0,0.0,67.0,67.0,0,0
19.2,26.9,5.4,66.0,61.0,1,1
3.5,18.6,0.0,97.0,46.0,0,0
3.5,20.6,0.4,61.0,37.0,0,0
23.7,34.2,0.0,73.0,42.0,0,0
5.7,12.7,1.8,67.0,63.0,1,1
4.8,15.7,0.0,96.0,76.0,0,0
16.2,25.6,0.0,44.0,64.0,0,0
11.4,28.2,0.0,66.0,38.0,0,0
22.9,24.8,132.6,96.0,96.0,1,1
8.9,19.3,0.8,100.0,84.0,0,0
15.8,31.7,0.0,55.0,21.0,0,0
4.1,12.0,2.0,88.0,58.0,1,0
6.6,23.1,0.0,79.0,44.0,0,0
14.8,28.7,0.0,48.0,24.0,0,1
6.9,23.2,0.0,99.0,56.0,0,0
10.2,23.9,0.0,57.0,45.0,0,0
15.2,26.5,0.0,95.0,58.0,0,0
16.0,22.0,0.0,72.0,65.0,0,0
20.0,25.0,0.0,80.0,71.0,0,0
17.6,28.4,0.0,46.0,41.0,0,0
4.9,13.4,0.0,56.0,90.0,0,1
